,CustomerID,Title,GivenName,MiddleInitial,Surname,CreditCardType,Gender,Age,Location,MotorInsurance,MotorValue,MotorType,HealthInsurance,HealthType,HealthDependentsAdults,HealthDependentsKids,TravelInsurance,TravelType,Prefchannel
15,58,Ms.,Lea,M,Mitchell,NoCreditCard,female,52,Rural,Yes,10882.0,Single,No,NoHealthType,0,0,Yes,Backpacker,Phone
16,61,Mr.,Adam,S,Wilkinson,Visa,male,20,Rural,Yes,30069.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
17,64,Mr.,Kalvin,F,Robertson,Visa,male,21,Urban,Yes,19593.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,Email
18,75,Ms.,Kenzie,A,Ferguson,Visa,female,55,Urban,Yes,34548.0,Single,No,NoHealthType,0,0,Yes,Premium,Phone
19,76,Ms.,Ayla,K,Burns,Visa,female,44,Urban,Yes,33979.0,Single,No,NoHealthType,0,0,No,NoTravelType,Email
20,80,Mr.,Aron,K,Wilson,NoCreditCard,male,18,Rural,Yes,23717.0,Bundle,No,NoHealthType,0,0,Yes,Premium,Email
21,98,Mrs.,Eva,E,Burgess,AMEX,female,49,Urban,Yes,32615.0,Bundle,Yes,Level2,1,2,No,NoTravelType,Phone
22,103,Ms.,Gabrielle,A,Anderson,AMEX,female,47,Urban,Yes,34443.0,Single,Yes,Level1,1,2,Yes,Standard,Email
24,116,Dr.,Kayleigh,M,Docherty,AMEX,female,47,Urban,Yes,32265.0,Single,Yes,Level2,1,2,Yes,Business,Email
25,118,Mr.,Sebastian,S,Bryant,AMEX,male,49,Rural,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,Phone
27,124,Mrs.,Niamh,A,Kaur,AMEX,female,20,Urban,Yes,30601.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,Email
28,134,Ms.,Darcy,S,Reilly,AMEX,female,21,Urban,Yes,38049.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
29,139,Mr.,Michael,C,Mackenzie,Visa,male,50,Rural,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,Phone
30,140,Dr.,Sophie,R,West,AMEX,female,50,Rural,Yes,11777.0,Single,Yes,Level1,1,2,No,NoTravelType,Phone
31,146,Mr.,Warren,Z,Simpson,Visa,male,47,Rural,No,23797.5,NoMotorType,Yes,Level2,1,2,No,NoTravelType,Phone
32,147,Ms.,Casey,L,Reilly,AMEX,female,45,Urban,Yes,31407.0,Single,Yes,Level3,1,2,No,NoTravelType,Email
33,148,Mrs.,Mia,S,Holmes,Visa,female,18,Urban,Yes,4762.0,Single,No,NoHealthType,0,0,No,NoTravelType,SMS
34,150,Ms.,Lexi,F,Ross,AMEX,female,21,Urban,Yes,5113.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,SMS
35,157,Mrs.,Kimberley,R,Young,AMEX,female,49,Rural,Yes,11582.0,Single,No,NoHealthType,0,0,Yes,Standard,Phone
36,163,Mr.,Filip,E,Morrison,Visa,male,51,Urban,Yes,11952.0,Single,Yes,Level2,1,3,No,NoTravelType,Phone
37,164,Ms.,Hayden,C,Craig,NoCreditCard,female,51,Urban,Yes,12244.0,Single,Yes,Level1,1,3,Yes,Standard,Phone
38,166,Mr.,Leon,K,Cameron,AMEX,male,19,Rural,No,23797.5,NoMotorType,No,NoHealthType,0,0,Yes,Backpacker,Email
39,172,Mrs.,Mia,H,Douglas,AMEX,female,48,Urban,Yes,12672.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
40,173,Mr.,Thomas,A,Kelly,AMEX,male,20,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,Email
41,174,Dr.,Baillie,D,McMillan,Visa,male,44,Urban,Yes,24569.0,Single,Yes,Level2,1,3,Yes,Business,Email
42,179,Mr.,Luke,G,Freeman,NoCreditCard,male,47,Urban,Yes,38518.0,Single,Yes,Level3,1,3,No,NoTravelType,Email
44,186,Mrs.,Calleigh,A,Wright,AMEX,female,49,Rural,Yes,15104.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
45,188,Mrs.,Jennifer,J,Baker,NoCreditCard,female,22,Rural,Yes,25991.0,Bundle,No,NoHealthType,0,0,Yes,Standard,Email
46,191,Mrs.,Lena,D,Douglas,Visa,female,19,Urban,Yes,4557.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,SMS
47,192,Ms.,Natasha,O,Short,AMEX,female,50,Urban,No,23797.5,NoMotorType,Yes,Level3,1,2,No,NoTravelType,Phone
48,195,Ms.,Amna,S,Robertson,NoCreditCard,female,46,Rural,Yes,17668.0,Single,Yes,Level2,1,2,No,NoTravelType,Phone
50,198,Mr.,Dale,N,King,AMEX,male,48,Rural,Yes,17543.0,Single,Yes,Level2,1,3,No,NoTravelType,Phone
51,204,Mrs.,Isabelle,K,Leonard,AMEX,female,49,Rural,Yes,16634.0,Single,Yes,Level1,1,2,No,NoTravelType,Phone
52,205,Mr.,Bailey,A,Butler,AMEX,male,42,Rural,Yes,28102.0,Single,No,NoHealthType,0,0,No,NoTravelType,Email
53,206,Mr.,Frank,H,Mitchell,Visa,male,18,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,Yes,Backpacker,Email
54,208,Mr.,Hamza,E,Murray,Visa,male,52,Rural,Yes,19088.0,Single,Yes,Level2,2,3,No,NoTravelType,Phone
55,209,Mr.,Tyler,J,Storey,NoCreditCard,male,51,Rural,Yes,35308.0,Bundle,Yes,Level2,1,2,No,NoTravelType,Phone
58,220,Mr.,Christian,A,Murphy,AMEX,male,24,Urban,Yes,4871.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,SMS
60,225,Ms.,Aleah,K,Ritchie,AMEX,female,46,Urban,Yes,34369.0,Single,Yes,Level1,0,2,No,NoTravelType,Email
61,234,Mr.,Stuart,I,Maclean,Visa,male,51,Urban,Yes,11896.0,Single,Yes,Level2,1,2,No,NoTravelType,Phone
62,239,Mrs.,Amelia,A,Vincent,NoCreditCard,female,50,Urban,Yes,35482.0,Single,Yes,Level2,1,3,Yes,Business,Email
63,241,Mr.,Riley,K,Iqbal,AMEX,male,47,Rural,Yes,13122.0,Single,Yes,Level2,1,3,Yes,Standard,Phone
64,245,Mrs.,Ruby,C,Johnston,AMEX,female,51,Rural,Yes,15717.0,Single,Yes,Level2,0,2,No,NoTravelType,Phone
65,251,Ms.,Charli,H,Boyle,Visa,female,48,Rural,Yes,20489.0,Single,Yes,Level3,1,2,No,NoTravelType,Phone
66,252,Mrs.,Mia,C,Hart,Visa,female,20,Rural,Yes,31022.0,Bundle,No,NoHealthType,0,0,Yes,Backpacker,Email
67,253,Ms.,Rosie,D,Bell,AMEX,female,55,Rural,Yes,13965.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
68,261,Dr.,Morgan,L,Richards,NoCreditCard,male,24,Urban,Yes,24890.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
69,265,Mrs.,Lori,F,Gibson,NoCreditCard,female,49,Rural,No,23797.5,NoMotorType,Yes,Level2,1,2,Yes,Standard,Phone
70,272,Mr.,Ronan,K,Hay,Visa,male,49,Urban,Yes,33303.0,Single,Yes,Level3,2,2,Yes,Business,Phone
71,274,Mrs.,Jasmine,C,Christie,Visa,female,45,Rural,Yes,30486.0,Single,Yes,Level3,0,2,Yes,Business,Email
72,279,Mrs.,Alisha,M,McDonald,NoCreditCard,female,21,Rural,Yes,23360.0,Bundle,No,NoHealthType,0,0,Yes,Premium,Email
73,284,Mr.,Finlay,D,MacDonald,NoCreditCard,male,47,Urban,Yes,35360.0,Single,No,NoHealthType,0,0,No,NoTravelType,Email
74,287,Mrs.,Eloise,H,Brown,AMEX,female,49,Rural,Yes,36052.0,Single,Yes,Level2,1,2,Yes,Standard,Phone
75,298,Mr.,Ewan,B,Cunningham,NoCreditCard,male,47,Rural,Yes,8560.0,Single,No,NoHealthType,0,0,Yes,Standard,Phone
76,300,Mr.,Henry,E,Carroll,NoCreditCard,male,22,Rural,Yes,5037.0,Bundle,No,NoHealthType,0,0,Yes,Premium,SMS
78,321,Mrs.,Tia,O,Savage,AMEX,female,51,Rural,No,23797.5,NoMotorType,Yes,Level2,0,2,Yes,Standard,Phone
79,323,Mrs.,Kirsten,V,Clark,Visa,female,52,Rural,Yes,16814.0,Single,Yes,Level2,1,2,No,NoTravelType,Phone
80,332,Ms.,Zoe,J,Robertson,Visa,female,20,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,Yes,Backpacker,SMS
82,336,Ms.,Ava,D,Kerr,Visa,female,19,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,SMS
84,366,Mr.,Zac,M,Taylor,Visa,male,47,Urban,No,23797.5,NoMotorType,Yes,Level1,2,3,No,NoTravelType,Phone
85,371,Mrs.,Sophia,L,Lewis,Visa,female,47,Rural,Yes,36605.0,Single,Yes,Level3,1,3,No,NoTravelType,Email
86,373,Mr.,Robert,D,Reilly,NoCreditCard,male,49,Urban,Yes,29683.0,Single,Yes,Level1,0,3,Yes,Business,Phone
87,376,Ms.,Sara,A,Wilson,Visa,female,19,Urban,Yes,25759.0,Bundle,No,NoHealthType,0,0,Yes,Premium,Email
88,378,Mr.,Bruce,A,Simpson,NoCreditCard,male,50,Urban,Yes,34722.0,Single,Yes,Level3,1,2,Yes,Standard,Phone
89,379,Mr.,Innes,M,Simpson,Visa,male,48,Urban,Yes,17200.0,Single,Yes,Level3,1,2,No,NoTravelType,Phone
90,381,Mrs.,Ailie,F,Sinclair,NoCreditCard,female,48,Urban,Yes,33654.0,Single,Yes,Level2,1,2,Yes,Business,Email
91,383,Ms.,Tyler,M,Smith,Visa,female,18,Urban,Yes,21441.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,Email
92,385,Mr.,Brandon,M,Bruce,AMEX,male,53,Rural,Yes,12904.0,Single,Yes,Level2,0,2,No,NoTravelType,Phone
93,386,Mr.,Kody,N,Sinclair,AMEX,male,48,Urban,Yes,28138.0,Single,No,NoHealthType,0,0,Yes,Business,Phone
94,388,Ms.,Aaliyah,Z,Hughes,AMEX,female,42,Urban,Yes,34297.0,Single,Yes,Level2,1,2,Yes,Business,Email
95,390,Ms.,Emma,R,Saunders,NoCreditCard,female,18,Urban,Yes,5195.0,Single,No,NoHealthType,0,0,No,NoTravelType,SMS
96,391,Mrs.,Leigha,E,Burns,AMEX,female,50,Rural,Yes,18001.0,Single,Yes,Level2,0,2,Yes,Standard,Phone
97,395,Mr.,Joe,O,Kennedy,NoCreditCard,male,45,Urban,Yes,30497.0,Single,No,NoHealthType,0,0,No,NoTravelType,Email
98,397,Mr.,Brandon,A,Morton,AMEX,male,50,Rural,Yes,16695.0,Single,Yes,Level2,0,3,No,NoTravelType,Phone
99,410,Mrs.,Isabella,L,Payne,AMEX,female,51,Rural,Yes,15121.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
100,413,Ms.,Rosa,G,Munro,AMEX,female,48,Urban,Yes,8343.0,Single,Yes,Level2,2,2,No,NoTravelType,Phone
101,422,Mrs.,Rachel,L,Wallis,AMEX,female,23,Urban,Yes,23661.0,Bundle,No,NoHealthType,0,0,Yes,Premium,Email
102,423,Dr.,Lewis,E,Slater,AMEX,male,44,Urban,Yes,40577.0,Single,Yes,Level2,0,3,Yes,Business,Email
103,428,Mrs.,Eva,H,Barnett,Visa,female,18,Rural,No,23797.5,NoMotorType,No,NoHealthType,0,0,Yes,Premium,SMS
106,444,Mrs.,Lola,C,Dodd,AMEX,female,49,Rural,Yes,16202.0,Single,Yes,Level2,2,3,No,NoTravelType,Phone
107,449,Mr.,Bryn,J,Craig,NoCreditCard,male,19,Urban,Yes,22048.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
108,450,Mr.,Brad,L,McGregor,NoCreditCard,male,49,Urban,Yes,36931.0,Single,No,NoHealthType,0,0,No,NoTravelType,Email
109,453,Mr.,Kaden,A,McMillan,Visa,male,41,Rural,Yes,16547.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
110,454,Ms.,Abbie,O,Leach,AMEX,female,49,Rural,Yes,19949.0,Single,Yes,Level3,1,2,No,NoTravelType,Phone
111,456,Ms.,Brooke,L,Hobbs,AMEX,female,50,Urban,Yes,33191.0,Single,Yes,Level1,0,2,Yes,Backpacker,Email
112,460,Mr.,Mathew,L,Donaldson,Visa,male,19,Urban,Yes,5187.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,SMS
113,463,Mr.,Nathan,I,Docherty,AMEX,male,48,Rural,Yes,10215.0,Single,Yes,Level1,1,3,No,NoTravelType,Phone
114,464,Mrs.,Miriam,K,Stevenson,Visa,female,20,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,SMS
115,465,Mr.,Kane,A,McIntosh,Visa,male,18,Urban,Yes,22488.0,Bundle,No,NoHealthType,0,0,Yes,Backpacker,Email
116,467,Mrs.,Michelle,J,Hay,NoCreditCard,female,45,Urban,Yes,37734.0,Bundle,Yes,Level2,1,2,No,NoTravelType,Email
117,468,Dr.,Sally,M,Wright,NoCreditCard,female,45,Rural,Yes,17282.0,Single,Yes,Level2,0,2,Yes,Business,Phone
119,471,Mr.,Rory,N,Clark,Visa,male,52,Urban,Yes,15969.0,Single,Yes,Level2,0,3,No,NoTravelType,Phone
120,472,Ms.,Maeve,B,Ferguson,NoCreditCard,female,49,Rural,Yes,35473.0,Bundle,Yes,Level2,0,3,No,NoTravelType,Email
121,478,Ms.,Elise,L,Donnelly,AMEX,female,54,Rural,Yes,8981.0,Single,Yes,Level2,0,2,Yes,Business,Phone
124,486,Mr.,Paul,F,Clark,NoCreditCard,male,23,Urban,Yes,4975.0,Bundle,No,NoHealthType,0,0,Yes,Premium,SMS
126,493,Mr.,Lewis,H,Ford,NoCreditCard,male,24,Rural,Yes,28318.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
127,499,Mrs.,Kimberly,S,Allan,AMEX,female,55,Urban,Yes,13741.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
128,502,Mrs.,Matilda,B,Douglas,NoCreditCard,female,41,Urban,Yes,29717.0,Single,Yes,Level2,0,2,No,NoTravelType,Email
129,505,Mr.,Luis,J,Davidson,Visa,male,48,Rural,Yes,37717.0,Single,No,NoHealthType,0,0,Yes,Premium,Phone
130,507,Ms.,Paige,C,Gallagher,AMEX,female,50,Urban,Yes,33542.0,Single,Yes,Level2,1,2,Yes,Standard,Phone
131,528,Mr.,Spencer,E,Taylor,Visa,male,37,Rural,Yes,34062.0,Single,No,NoHealthType,0,0,Yes,Backpacker,Email
132,530,Mr.,Warren,K,Donaldson,AMEX,male,47,Urban,Yes,37271.0,Single,Yes,Level2,1,3,Yes,Business,Email
133,540,Mr.,Muhammad,B,Schofield,NoCreditCard,male,47,Urban,Yes,31429.0,Single,Yes,Level3,1,3,No,NoTravelType,Email
134,551,Mrs.,Isabella,R,Lees,Visa,female,47,Urban,Yes,18941.0,Single,Yes,Level2,1,2,Yes,Standard,Phone
135,555,Mr.,Logan,E,Winter,AMEX,male,66,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,Yes,Business,Phone
136,556,Mr.,Isaac,G,Fowler,Visa,male,47,Urban,Yes,40133.0,Single,Yes,Level1,1,2,No,NoTravelType,Email
137,567,Mrs.,Louisa,H,Davidson,AMEX,female,48,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,Phone
138,569,Mr.,Patrick,H,Mitchell,AMEX,male,49,Rural,Yes,13328.0,Single,Yes,Level1,1,2,No,NoTravelType,Phone
139,572,Mrs.,Madison,K,Donnelly,Visa,female,48,Urban,Yes,29721.0,Single,Yes,Level3,1,3,No,NoTravelType,Phone
140,578,Mrs.,Casey,C,Graham,Visa,female,19,Urban,Yes,22805.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
141,591,Ms.,Yasmin,R,Cross,Visa,female,47,Urban,Yes,34234.0,Single,Yes,Level3,1,2,No,NoTravelType,Email
142,593,Mr.,Toby,I,Ross,Visa,male,43,Urban,Yes,29894.0,Single,Yes,Level3,0,3,No,NoTravelType,Email
143,601,Mr.,Darren,H,Milne,AMEX,male,20,Rural,Yes,22489.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
145,616,Mr.,George,J,Preston,AMEX,male,50,Rural,No,23797.5,NoMotorType,Yes,Level2,1,2,Yes,Backpacker,Phone
146,619,Mr.,Dylan,J,Young,AMEX,male,22,Urban,Yes,4918.0,Single,No,NoHealthType,0,0,Yes,Business,SMS
147,621,Mr.,Colin,E,Douglas,AMEX,male,47,Urban,No,23797.5,NoMotorType,Yes,Level2,2,3,Yes,Business,Phone
148,625,Ms.,Cora,J,Jones,NoCreditCard,female,50,Urban,Yes,12822.0,Single,Yes,Level1,1,2,No,NoTravelType,Phone
149,637,Mr.,Travis,A,Christie,AMEX,male,51,Rural,Yes,17495.0,Single,Yes,Level3,1,3,Yes,Standard,Phone
150,639,Mrs.,Eloise,B,Holloway,AMEX,female,23,Urban,Yes,5086.0,Bundle,No,NoHealthType,0,0,Yes,Backpacker,SMS
151,642,Mr.,Finlay,S,Bell,Visa,male,46,Rural,Yes,16825.0,Single,Yes,Level2,1,3,No,NoTravelType,Phone
152,644,Mrs.,Hannah,M,Munro,AMEX,female,48,Urban,Yes,33573.0,Single,Yes,Level2,1,2,Yes,Business,Phone
153,646,Ms.,Nieve,F,Thompson,AMEX,female,50,Urban,No,23797.5,NoMotorType,Yes,Level2,2,2,Yes,Business,Phone
155,652,Mrs.,Rachel,F,Gray,AMEX,female,22,Rural,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,SMS
157,660,Mr.,Flynn,M,Boyle,AMEX,male,43,Urban,Yes,33648.0,Single,No,NoHealthType,0,0,Yes,Business,Email
158,663,Mr.,Ewan,S,Hobbs,Visa,male,21,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,SMS
159,666,Ms.,Inaaya,C,Forbes,AMEX,female,49,Urban,Yes,36405.0,Single,No,NoHealthType,0,0,No,NoTravelType,Email
160,670,Mr.,Logan,C,Jamieson,AMEX,male,48,Urban,Yes,44786.0,Single,Yes,Level3,1,3,No,NoTravelType,Email
161,671,Mrs.,Aleksandra,M,Boyle,AMEX,female,47,Urban,Yes,18613.0,Single,Yes,Level2,2,3,No,NoTravelType,Phone
162,676,Mrs.,Murrin,B,Russell,AMEX,female,51,Rural,Yes,12320.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
163,681,Mrs.,Tegan,R,Holland,AMEX,female,21,Urban,Yes,4905.0,Bundle,No,NoHealthType,0,0,No,NoTravelType,SMS
164,683,Mrs.,Lara,S,Murphy,AMEX,female,51,Rural,Yes,17953.0,Bundle,Yes,Level2,2,2,No,NoTravelType,Phone
165,688,Ms.,Cerys,T,Curtis,NoCreditCard,female,49,Rural,Yes,20485.0,Single,Yes,Level3,1,3,No,NoTravelType,Phone
166,689,Mr.,Scott,I,Bray,AMEX,male,45,Rural,Yes,10654.0,Single,Yes,Level3,1,3,No,NoTravelType,Phone
168,705,Mrs.,Alix,A,Johnstone,AMEX,female,46,Rural,Yes,19207.0,Single,Yes,Level2,1,2,Yes,Standard,Phone
169,709,Ms.,Millie,L,Rhodes,Visa,female,22,Rural,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,SMS
171,718,Mr.,Rayyan,M,McGregor,Visa,male,50,Rural,Yes,34756.0,Single,Yes,Level3,1,3,No,NoTravelType,Phone
173,734,Mrs.,Eryn,C,Millar,NoCreditCard,female,46,Urban,Yes,35955.0,Single,Yes,Level1,0,2,No,NoTravelType,Email
174,737,Mr.,Isaac,G,King,Visa,male,52,Urban,Yes,13093.0,Single,Yes,Level2,2,2,No,NoTravelType,Phone
175,738,Ms.,Tamzin,L,Forbes,AMEX,female,18,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,Yes,Premium,SMS
177,740,Ms.,Olivia,C,Stevenson,NoCreditCard,female,22,Urban,Yes,28256.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
178,744,Mrs.,Ella,L,Foster,Visa,female,51,Rural,Yes,14733.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
179,751,Mr.,Brandon,S,Campbell,Visa,male,51,Rural,Yes,34607.0,Single,Yes,Level1,1,2,No,NoTravelType,Phone
180,752,Mr.,Louis,A,Crawford,Visa,male,21,Urban,Yes,28341.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
181,758,Mr.,Marcel,T,Jamieson,AMEX,male,50,Urban,No,23797.5,NoMotorType,Yes,Level2,1,3,No,NoTravelType,Phone
183,764,Mr.,Samuel,S,Dawson,Visa,male,22,Urban,Yes,21876.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
184,765,Mr.,Leo,O,Coates,Visa,male,45,Urban,Yes,19852.0,Bundle,No,NoHealthType,0,0,Yes,Standard,Phone
185,774,Ms.,Sofia,A,Gibson,AMEX,female,45,Rural,No,23797.5,NoMotorType,Yes,Level2,2,2,No,NoTravelType,Phone
186,776,Mr.,Codey,I,Russell,NoCreditCard,male,49,Rural,Yes,16535.0,Single,Yes,Level2,1,1,No,NoTravelType,Phone
187,782,Mr.,Christian,M,Wilson,NoCreditCard,male,20,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,SMS
188,783,Mrs.,Alexandra,L,Sullivan,Visa,female,50,Rural,Yes,13951.0,Single,Yes,Level2,1,3,No,NoTravelType,Phone
189,785,Mr.,Caelan,C,McMillan,Visa,male,53,Urban,Yes,38676.0,Single,Yes,Level3,1,2,Yes,Standard,Phone
190,786,Ms.,Elise,J,Chambers,Visa,female,46,Urban,Yes,37077.0,Single,Yes,Level2,0,2,Yes,Premium,Email
191,792,Mr.,Harry,C,Fisher,AMEX,male,22,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,SMS
192,800,Mr.,William,L,Thorpe,AMEX,male,43,Urban,Yes,39333.0,Single,Yes,Level2,0,2,Yes,Business,Email
193,801,Mrs.,Georgia,M,Munro,NoCreditCard,female,23,Urban,No,23797.5,NoMotorType,No,NoHealthType,0,0,Yes,Premium,SMS
195,805,Mr.,Adrian,L,Hill,AMEX,male,52,Rural,Yes,20408.0,Single,Yes,Level2,1,2,Yes,Business,Phone
196,806,Mr.,Donald,S,Kennedy,AMEX,male,50,Rural,Yes,17779.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
197,814,Mr.,Mason,A,Wallis,AMEX,male,54,Rural,Yes,16290.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
198,818,Ms.,Molly,M,Kirk,Visa,female,65,Rural,Yes,28232.0,Single,No,NoHealthType,0,0,Yes,Standard,Phone
199,821,Mrs.,Nicole,M,Rees,Visa,female,53,Rural,Yes,12785.0,Single,Yes,Level2,1,1,No,NoTravelType,Phone
200,828,Mr.,Alexander,K,Henderson,Visa,male,49,Urban,No,23797.5,NoMotorType,Yes,Level2,1,2,No,NoTravelType,Phone
201,839,Ms.,Jodie,M,Marshall,NoCreditCard,female,47,Urban,Yes,38195.0,Single,No,NoHealthType,0,0,Yes,Business,Email
202,845,Mr.,Bradley,R,Thomas,Visa,male,55,Urban,Yes,33553.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
203,847,Mr.,Philip,A,Gibson,Visa,male,51,Rural,Yes,17664.0,Single,Yes,Level2,1,3,Yes,Standard,Phone
204,857,Mr.,Layton,G,Hunter,Visa,male,23,Rural,No,23797.5,NoMotorType,No,NoHealthType,0,0,Yes,Premium,SMS
205,874,Mr.,Morgan,R,Carr,Visa,male,45,Urban,Yes,33151.0,Single,Yes,Level2,0,2,Yes,Business,Email
206,878,Mr.,Jay,C,Haynes,AMEX,male,21,Urban,Yes,21864.0,Bundle,No,NoHealthType,0,0,Yes,Business,Email
208,891,Mr.,Darryl,A,Simpson,Visa,male,49,Rural,No,23797.5,NoMotorType,Yes,Level2,1,3,No,NoTravelType,Phone
209,895,Mrs.,Jessica,K,Cox,Visa,female,51,Rural,Yes,29300.0,Single,Yes,Level1,2,2,No,NoTravelType,Phone
210,896,Mr.,Sandy,A,Simpson,Visa,male,57,Rural,No,23797.5,NoMotorType,No,NoHealthType,0,0,No,NoTravelType,Phone
211,900,Ms.,Georgia,C,James,AMEX,female,49,Rural,Yes,14601.0,Single,No,NoHealthType,0,0,No,NoTravelType,Phone
212,911,Mr.,Kalvin,V,Craig,Visa,male,22,Urban,Yes,4975.0,Bundle,No,NoHealthType,0,0,Yes,Backpacker,SMS
213,914,Ms.,Summer,H,Green,Visa,female,53,Urban,Yes,13273.0,Single,Yes,Level3,1,3,No,NoTravelType,Phone
215,920,Mr.,Jake,E,Boyle,Visa,male,61,Urban,Yes,28655.0,Single,No,NoHealthType,0,0,Yes,Premium,Phone
216,925,Mrs.,Ellie,E,Parker,AMEX,female,46,Urban,No,23797.5,NoMotorType,Yes,Level2,1,2,No,NoTravelType,Phone
218,975,Mrs.,Rose,F,Kerr,AMEX,female,21,Rural,Yes,22644.0,Bundle,No,NoHealthType,0,0,Yes,Premium,Email
219,978,Ms.,Megan,M,Reid,NoCreditCard,female,45,Urban,Yes,35423.0,Single,Yes,Level3,1,2,Yes,Premium,Email
221,988,Ms.,Grace,S,Goodwin,AMEX,female,46,Urban,No,23797.5,NoMotorType,Yes,Level3,1,2,Yes,Standard,Phone
